ID,Name,Brand,Designer,Availability,Online,Description,Type,Material,Country,Color,Depth,Height,Width,Volumn,OldPrice,Price,ChangeAmount,Discount,CurrentPrice,Shipment,Link,Images,Feedback,Ranking
10455410,KORNSJÖ,KORNSJÖ,Ebba Strandmark,TRUE,TRUE,"        Cabinet with mirror,          70x47 cm",Tables & desks,,,,47,187,70,615230,,745,,,,,https://www.ikea.com/sa/en/p/kornsjoe-cabinet-with-mirror-black-10455410/,,0,0
79288032,MÖRBYLÅNGA / TOSSBERG,MÖRBYLÅNGA / TOSSBERG,S Lanneskog/J Marnell/IKEA of Sweden,TRUE,TRUE,"        Table and 6 armchairs,          220x100 cm",Tables & desks,,,,,,100,0,,5465,,,,,https://www.ikea.com/sa/en/p/moerbylanga-tossberg-table-and-6-armchairs-oak-veneer-brown-stained-metal-grey-s79288032/,,0,0
324561,TOSTERÖ,TOSTERÖ,IKEA of Sweden,TRUE,TRUE,"        Parasol cover,          220 cm",Outdoor furniture,,,,,,,0,,79,,,,,https://www.ikea.com/sa/en/p/tosteroe-parasol-cover-black-00324561/,,0,0
9252197,INGATORP / INGATORP,INGATORP / INGATORP,Ebba Strandmark/Carina Bengs,TRUE,TRUE,"        Table and 4 chairs,          100/155 cm",Chairs,,,,,74,87,0,,3225,,,,,https://www.ikea.com/sa/en/p/ingatorp-ingatorp-table-and-4-chairs-black-s09252197/,,0,0
59197702,SVENBERTIL,SVENBERTIL,Mia Lagerman,TRUE,TRUE,        Chair,Chairs,,,,51,85,48,208080,,245,,,,,https://www.ikea.com/sa/en/p/svenbertil-chair-white-ernfrid-birch-s59197702/,,0,0
20386505,SJÄLLAND,SJÄLLAND,David Wahl,TRUE,TRUE,"        Table top, outdoor,          85x72 cm",Outdoor furniture,,,,,,72,0,,356,,,,,https://www.ikea.com/sa/en/p/sjaelland-table-top-outdoor-light-brown-20386505/,,0,0
79248319,IVAR,IVAR,IKEA of Sweden,TRUE,TRUE,"        2 sections/shelves,          134x30x179 cm",Bookcases & shelving units,,,,30,179,134,719580,,440,,,,,https://www.ikea.com/sa/en/p/ivar-2-sections-shelves-pine-s79248319/,,0,0
50365361,MAMMUT,MAMMUT,M Kjelstrup/A Östgaard,TRUE,TRUE,        Children's stool,Outdoor furniture,,,,,,35,0,,29,,,,,https://www.ikea.com/sa/en/p/mammut-childrens-stool-in-outdoor-orange-50365361/,,0,0
60306494,PÅHL,PÅHL,S Fager/J Jelinek,TRUE,TRUE,"        Desk top shelf,          64x60 cm",Tables & desks,,,,17,60,64,65280,,125,,,,,https://www.ikea.com/sa/en/p/pahl-desk-top-shelf-white-green-60306494/,,0,0
60247027,GAMLEBY,GAMLEBY,IKEA of Sweden,TRUE,TRUE,"        Gateleg table,          67/134/201x78 cm",Tables & desks,,,,,74,78,0,,1295,,,,,https://www.ikea.com/sa/en/p/gamleby-gateleg-table-light-antique-stain-grey-60247027/,,0,0
19286390,EKET,EKET,Jon Karlsson/IKEA of Sweden,TRUE,TRUE,"        Wall-mounted storage combination,          70x25x175 cm",Bookcases & shelving units,,,,25,175,70,306250,,400,,,,,https://www.ikea.com/sa/en/p/eket-wall-mounted-storage-combination-light-grey-dark-grey-red-s19286390/,,0,0
20305707,BUSUNGE,BUSUNGE,Carl Öjerstam,TRUE,TRUE,"        Wardrobe,          80x139 cm",Wardrobes,,,,52,139,80,578240,,645,,,,,https://www.ikea.com/sa/en/p/busunge-wardrobe-white-20305707/,,0,0
70465538,VOLFGANG,VOLFGANG,704.655.38 You sit comfortably thanks to the restful flexibility of the seat.You sit comfortably thanks to the padded seat.Velvet.The velvet reflects light in a characteristic way which may make the colour appear as if it changes.,FALSE,FALSE,        Stool,Chairs,,,,43,85,53,193715,,175,,,,,https://www.ikea.com/sa/en/p/volfgang-stool-chrome-plated-gunnared-dark-grey-70465538/,,0,0
60248418,FÖRSIKTIG,FÖRSIKTIG,K Hagberg/M Hagberg,TRUE,TRUE,        Children's stool,Children's furniture,,,,24,13,37,11544,,15,,,,,https://www.ikea.com/sa/en/p/foersiktig-childrens-stool-white-green-60248418/,,0,0
428974,NORRÅKER,NORRÅKER,J Karlsson/N Karlsson,TRUE,TRUE,"        Stool,          45 cm",Chairs,,,,29,45,45,58725,,145,,,,,https://www.ikea.com/sa/en/p/norraker-stool-birch-00428974/,,0,0
19291650,KOLBJÖRN,KOLBJÖRN,IKEA of Sweden,TRUE,TRUE,"        Shelving unit with 2 cabinets,          171x37x161 cm",Bookcases & shelving units,,,,37,161,171,1018647,,1265,,,,,https://www.ikea.com/sa/en/p/kolbjoern-shelving-unit-with-2-cabinets-beige-s19291650/,,0,0
49303393,VIMLE,VIMLE,Ehlén Johansson,TRUE,TRUE,"        Cover for corner sofa-bed, 4-seat",Sofas & armchairs,,,,,,,0,,1400,,,,,https://www.ikea.com/sa/en/p/vimle-cover-for-corner-sofa-bed-4-seat-with-open-end-dalstorp-multicolour-s49303393/,,0,0
39279567,EKEDALEN / EKEDALEN,EKEDALEN / EKEDALEN,Ehlén Johansson,TRUE,TRUE,"        Table and 6 chairs,          180/240 cm",Chairs,,,,,,,0,,2345,,,,,https://www.ikea.com/sa/en/p/ekedalen-ekedalen-table-and-6-chairs-dark-brown-orrsta-light-grey-s39279567/,,0,0
70267133,VÄDDÖ,VÄDDÖ,Henrik Preutz,TRUE,TRUE,"        Stool, outdoor",Outdoor furniture,,,,33,46,36,54648,,35.4,,,,,https://www.ikea.com/sa/en/p/vaeddoe-stool-outdoor-white-70267133/,,0,0
59254165,INGATORP / INGOLF,INGATORP / INGOLF,Ebba Strandmark/Carina Bengs,TRUE,TRUE,"        Table and 4 chairs,          110/155 cm",Chairs,,,,,74,87,0,,2725,,,,,https://www.ikea.com/sa/en/p/ingatorp-ingolf-table-and-4-chairs-white-nordvalla-beige-s59254165/,,0,0
9265920,HAVSTA,HAVSTA,IKEA of Sweden,TRUE,TRUE,"        Storage combination w glass doors,          203x47x212 cm",Cabinets & cupboards,,,,47,212,203,2022692,,2980,,,,,https://www.ikea.com/sa/en/p/havsta-storage-combination-w-glass-doors-dark-brown-s09265920/,,0,0
99215695,LINNMON / KRILLE,LINNMON / KRILLE,Francis Cayouette/IKEA of Sweden,TRUE,TRUE,"        Table,          150x75 cm",Tables & desks,,,,,74,75,0,,405,,,,,https://www.ikea.com/sa/en/p/linnmon-krille-table-beige-white-s99215695/,,0,0
59292643,SJÄLLAND,SJÄLLAND,David Wahl/IKEA of Sweden,TRUE,TRUE,"        Table+2 chairs w armrests, outdoor,          71x71x73 cm",Outdoor furniture,,,,,73,71,0,,974,,,,,https://www.ikea.com/sa/en/p/sjaelland-table-2-chairs-w-armrests-outdoor-dark-grey-halloe-black-s59292643/,,0,0
80214549,MALM,MALM,IKEA of Sweden,TRUE,TRUE,"        Chest of 2 drawers,          40x55 cm",Chests of drawers & drawer units,,,,48,55,40,105600,,165,,,,,https://www.ikea.com/sa/en/p/malm-chest-of-2-drawers-white-80214549/,,0,0
60171433,GRUNDTAL,GRUNDTAL,K Hagberg/M Hagberg,TRUE,TRUE,"        Trolley,          48x24x77 cm",Trolleys,,,,24,77,48,88704,,195,,,,,https://www.ikea.com/sa/en/p/grundtal-trolley-stainless-steel-60171433/,,0,0
397736,NORRARYD,NORRARYD,Nike Karlsson,TRUE,TRUE,"        Bar stool with backrest,          74 cm",Café furniture,,,,47,103,46,222686,,395,,,,,https://www.ikea.com/sa/en/p/norraryd-bar-stool-with-backrest-black-00397736/,,0,0
9294526,VITTSJÖ,VITTSJÖ,Johan Kroon,TRUE,TRUE,"        Storage combination,          200x36x93 cm",Bookcases & shelving units,,,,36,93,200,669600,,490,,,,,https://www.ikea.com/sa/en/p/vittsjoe-storage-combination-black-brown-glass-s09294526/,,0,0
99266053,HAVSTA,HAVSTA,IKEA of Sweden,TRUE,TRUE,"        Storage combination w glass-doors,          162x37x134 cm",Cabinets & cupboards,,,,37,134,162,803196,,1900,,,,,https://www.ikea.com/sa/en/p/havsta-storage-combination-w-glass-doors-dark-brown-s99266053/,,0,0
49277247,PLATSA,PLATSA,Ola Wihlborg/IKEA of Sweden,TRUE,TRUE,"        Chest of 3 drawers,          60x57x73 cm",Chests of drawers & drawer units,,,,57,73,60,249660,,456,,,,,https://www.ikea.com/sa/en/p/platsa-chest-of-3-drawers-white-fonnes-white-s49277247/,,0,0
19221351,EKEDALEN / EKEDALEN,EKEDALEN / EKEDALEN,Ehlén Johansson,TRUE,TRUE,"        Table and 6 chairs,          180/240 cm",Tables & desks,,,,,,,0,,2345,,,,,https://www.ikea.com/sa/en/p/ekedalen-ekedalen-table-and-6-chairs-white-orrsta-light-grey-s19221351/,,0,0
59151271,SVÄRTA,SVÄRTA,Tord Björklund,TRUE,TRUE,"        Loft bed frame with desk top,          90x200 cm",Beds,,,,,186,97,0,,1175,,,,,https://www.ikea.com/sa/en/p/svaerta-loft-bed-frame-with-desk-top-silver-colour-s59151271/,,0,0
9248006,NORDLI,NORDLI,Ola Wihlborg,TRUE,TRUE,"        Chest of 7 drawers,          80x99 cm",Chests of drawers & drawer units,,,,47,99,80,372240,,1080,,,,,https://www.ikea.com/sa/en/p/nordli-chest-of-7-drawers-white-s09248006/,,0,0
9305761,PAX,PAX,Ehlén Johansson/IKEA of Sweden,TRUE,TRUE,"        Wardrobe,          200x66x236 cm",Wardrobes,,,,66,236,200,3115200,,2140,,,,,https://www.ikea.com/sa/en/p/pax-wardrobe-black-brown-stained-ash-effect-black-brown-mehamn-black-brown-stained-ash-effect-s09305761/,,0,0
40076093,ANTILOP,ANTILOP,IKEA of Sweden,TRUE,TRUE,        Highchair tray,Nursery furniture,,,,,,42,0,,25,,,,,https://www.ikea.com/sa/en/p/antilop-highchair-tray-white-40076093/,,0,0
70304201,NORSBORG,NORSBORG,Ehlén Johansson,TRUE,TRUE,        Cover chaise longue section,Sofas & armchairs,,,,,,,0,,280,,,,,https://www.ikea.com/sa/en/p/norsborg-cover-chaise-longue-section-finnsta-dark-grey-70304201/,,0,0
69161482,IKEA PS 2012 / JANINGE,IKEA PS 2012 / JANINGE,Jon Karlsson/John/Jonas/Petrus/Paul/Caroline,TRUE,TRUE,"        Table and 4 chairs,          138 cm",Chairs,,,,,74,80,0,,1795,,,,,https://www.ikea.com/sa/en/p/ikea-ps-2012-janinge-table-and-4-chairs-bamboo-white-s69161482/,,0,0
30236153,ORRNÄS,ORRNÄS,IKEA of Sweden,TRUE,TRUE,"        Knob,          17 mm",TV & media furniture,,,,30,,17,0,,17,,,,,https://www.ikea.com/sa/en/p/orrnaes-knob-stainless-steel-colour-stainless-steel-30236153/,,0,0
