Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
243,99275241,STUVA / FÖLJA,Beds,1980,No old price,TRUE,https://www.ikea.com/sa/en/p/stuva-foelja-loft-bed-combo-w-4-drawers-2-doors-white-s99275241/,No,"        Loft bed combo w 4 drawers/2 doors,          207x99x182 cm",IKEA of Sweden/Ebba Strandmark,,182,
1124,40472861,SKRUVSTA,Chairs,545,No old price,TRUE,https://www.ikea.com/sa/en/p/skruvsta-swivel-chair-lingbo-multicolour-40472861/,Yes,        Swivel chair,"404.728.61 Height adjustable armchair which you can swivel to the desired height.Slim lines, easy to place.You sit comfortably since the chair is adjustable in height.The safety castors have a pressure-sensitive brake mechanism that keeps the chair in place when you stand up, and releases automatically when you sit down.This product has been developed and tested for domestic use.",69,79,69
1830,49128969,PÅHL,Children's furniture,425,No old price,TRUE,https://www.ikea.com/sa/en/p/pahl-desk-with-add-on-unit-white-s49128969/,Yes,"        Desk with add-on unit,          128x58 cm",S Fager/J Jelinek,58,,128
1572,59161492,MÖCKELBY / NORRARYD,Chairs,4055,"SR 4,445",TRUE,https://www.ikea.com/sa/en/p/moeckelby-norraryd-table-and-6-chairs-oak-black-s59161492/,No,"        Table and 6 chairs,          235x100 cm",Marcus Arvonen/Nike Karlsson,,74,100
1340,39280698,MELLTORP / NISSE,Chairs,197,SR 263,TRUE,https://www.ikea.com/sa/en/p/melltorp-nisse-table-and-2-folding-chairs-white-dark-blue-lilac-s39280698/,No,"        Table and 2 folding chairs,          75 cm",Lisa Norinder,,72,75
261,70261131,GERSBY,Bookcases & shelving units,95,No old price,TRUE,https://www.ikea.com/sa/en/p/gersby-bookcase-white-70261131/,No,"        Bookcase,          60x180 cm",IKEA of Sweden,24,180,60
3686,69330475,PAX / HOKKSUND,Wardrobes,3985,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-hokksund-wardrobe-combination-black-brown-high-gloss-light-beige-s69330475/,No,"        Wardrobe combination,          150x66x236 cm",IKEA of Sweden/Ehlén Johansson,66,236,150
2071,39265481,SJÄLLAND,Outdoor furniture,1900,"SR 2,375",TRUE,https://www.ikea.com/sa/en/p/sjaelland-table-4-reclining-chairs-outdoor-dark-grey-light-grey-s39265481/,Yes,"        Table+4 reclining chairs, outdoor,          156x90 cm",David Wahl,,73,90
2460,19240062,NORSBORG,Sofas & armchairs,4220,"SR 5,275",TRUE,https://www.ikea.com/sa/en/p/norsborg-corner-sofa-4-seat-edum-bright-green-metal-bright-green-s19240062/,Yes,"        Corner sofa, 4-seat",Ehlén Johansson,88,85,225
834,30439725,LIATORP,Cabinets & cupboards,1295,No old price,TRUE,https://www.ikea.com/sa/en/p/liatorp-glass-door-cabinet-white-30439725/,No,"        Glass-door cabinet,          96x214 cm",Carina Bengs,42,214,96
3107,49331310,LINNMON / KRILLE,Tables & desks,385,No old price,TRUE,https://www.ikea.com/sa/en/p/linnmon-krille-table-light-grey-white-s49331310/,Yes,"        Table,          120x60 cm",Francis Cayouette/IKEA of Sweden,,74,60
2760,70353734,LINNMON,Tables & desks,51,SR 85,TRUE,https://www.ikea.com/sa/en/p/linnmon-table-top-beige-70353734/,Yes,"        Table top,          120x60 cm",IKEA of Sweden,,,60
2780,9184448,SVALNÄS,Tables & desks,620,No old price,TRUE,https://www.ikea.com/sa/en/p/svalnaes-wall-mounted-workspace-combination-bamboo-s09184448/,No,"        Wall-mounted workspace combination,          86x35x176 cm",Jon Karlsson,35,176,86
3376,10273090,MÖLLARP,TV & media furniture,12,No old price,TRUE,https://www.ikea.com/sa/en/p/moellarp-knob-black-10273090/,No,"        Knob,          14 mm",K Hagberg/M Hagberg,25,,
340,69281776,BILLY,Bookcases & shelving units,585,No old price,TRUE,https://www.ikea.com/sa/en/p/billy-bookcase-with-panel-glass-doors-white-s69281776/,Yes,"        Bookcase with panel/glass doors,          80x30x202 cm",Gillis Lundgren,30,202,80
1606,30326177,LENNART,Chests of drawers & drawer units,49,No old price,TRUE,https://www.ikea.com/sa/en/p/lennart-drawer-unit-white-30326177/,No,        Drawer unit,Jon Karlsson,34,56,30
748,59303477,IVAR,Bookcases & shelving units,2275,No old price,TRUE,https://www.ikea.com/sa/en/p/ivar-shelving-unit-w-cabinets-drawers-pine-red-s59303477/,No,"        Shelving unit w cabinets/drawers,          344x30x226 cm",IKEA of Sweden,30,226,344
2752,60150176,BRÄDA,Tables & desks,15,No old price,TRUE,https://www.ikea.com/sa/en/p/braeda-laptop-support-black-60150176/,Yes,"        Laptop support,          42x31 cm",Sarah Fager,31,9,42
480,10434187,ALGOT,Bookcases & shelving units,9,SR 15,TRUE,https://www.ikea.com/sa/en/p/algot-bracket-black-10434187/,No,"        Bracket,          38 cm",Francis Cayouette,38,,2
1425,50223625,HEMNES,Chairs,395,No old price,TRUE,https://www.ikea.com/sa/en/p/hemnes-bench-white-50223625/,Yes,"        Bench,          83 cm",T Christensen/K Legaard,,53,37
2628,19011777,MELLTORP,Tables & desks,199,SR 250,TRUE,https://www.ikea.com/sa/en/p/melltorp-table-white-s19011777/,No,"        Table,          125x75 cm",Lisa Norinder,,74,75
1847,19252615,LANGUR,Children's furniture,235,No old price,TRUE,https://www.ikea.com/sa/en/p/langur-junior-chair-white-s19252615/,No,        Junior chair,J Fritzdorf/J Feldman/J Hedberg,61,82,56
783,29285470,ALGOT,Bookcases & shelving units,555,SR 645,TRUE,https://www.ikea.com/sa/en/p/algot-2-sections-shelves-black-s29285470/,No,"        2 sections/shelves,          127x41x180 cm",Francis Cayouette,41,180,127
3162,69161482,IKEA PS 2012 / JANINGE,Tables & desks,1795,No old price,TRUE,https://www.ikea.com/sa/en/p/ikea-ps-2012-janinge-table-and-4-chairs-bamboo-white-s69161482/,No,"        Table and 4 chairs,          138 cm",Jon Karlsson/John/Jonas/Petrus/Paul/Caroline,,74,80
1601,99305177,NORDVIKEN / LEIFARNE,Chairs,2275,No old price,TRUE,https://www.ikea.com/sa/en/p/nordviken-leifarne-table-and-4-chairs-black-broringe-black-s99305177/,No,"        Table and 4 chairs,          152/223x95 cm",Mia Lagerman/Francis Cayouette,,,95
2416,80413921,KIVIK,Sofas & armchairs,395,No old price,TRUE,https://www.ikea.com/sa/en/p/kivik-cover-two-seat-sofa-orrsta-red-80413921/,Yes,        Cover two-seat sofa,Ola Wihlborg,,,
2958,90400517,EKEDALEN,Tables & desks,796,SR 995,TRUE,https://www.ikea.com/sa/en/p/ekedalen-bar-table-dark-brown-90400517/,No,"        Bar table,          120x80 cm",Ehlén Johansson,,105,80
3391,30247415,BESTÅ,TV & media furniture,110,No old price,TRUE,https://www.ikea.com/sa/en/p/besta-frame-grey-stained-walnut-effect-30247415/,Yes,"        Frame,          60x20x64 cm",IKEA of Sweden,20,64,60
2619,29285521,VIMLE,Sofas & armchairs,2945,No old price,TRUE,https://www.ikea.com/sa/en/p/vimle-2-seat-sofa-bed-section-gunnared-beige-s29285521/,Yes,        2-seat sofa-bed section,Ehlén Johansson/IKEA of Sweden,98,83,160
1480,429426,HATTEFJÄLL,Chairs,150,No old price,TRUE,https://www.ikea.com/sa/en/p/hattefjaell-pair-of-armrests-black-00429426/,Yes,        Pair of armrests,Monika Mulder,23,64,4
1793,10424353,VIMUND,Children's furniture,299,No old price,TRUE,https://www.ikea.com/sa/en/p/vimund-childrens-desk-chair-light-pink-10424353/,Yes,        Children's desk chair,IKEA of Sweden,59,,62
2429,9289884,LIDHULT,Sofas & armchairs,1995,No old price,TRUE,https://www.ikea.com/sa/en/p/lidhult-2-seat-section-lejde-grey-black-s09289884/,Yes,        2-seat section,Henrik Preutz,97,95,141
